"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"PASO 1 — Alta de acceso FTTH (service-activation).","3","test_e2e_01_alta[Huawei-WOM]","tests.e2e","2026-07-20","passed","2026-07-20","TestLifecycleFTTHAllVNOs","test_lifecycle_ftth_all_vnos","",""
"
        ESCENARIO: El flag de DTV se activa (semana 22-23 según calendario).
                   ServiceNow envía una activación para DTV.

        Resultado esperado:
            Komands procesa la operación normalmente → 202 + txn_id.
            ServiceNow no sabe ni le importa el cambio — misma respuesta de antes.
        ","8","test_ff02_flag_dtv_activado_procesa_en_komands","tests.security","2026-07-20","passed","2026-07-20","TestFeatureFlags","test_feature_flags","",""
"
        ESCENARIO: 200 transacciones/minuto sostenidas durante 30 minutos.

        Validar que la cola de Komands absorbe la carga sin degradación.
        P95 de latencia de respuesta (202 ACCEPTED) debe ser < 2 segundos.
        Tasa de error < 0.1%.

        Herramienta: Locust con ramp-up de 5 min hasta 200 tx/min.
        Resultado esperado: 0% error rate, P95 < 2s durante todo el test.
        ","0","test_per01_carga_sostenida_200txmin_30min","tests.api","2026-07-20","skipped","2026-07-20","TestRendimientoBajoCarga","test_performance","",""
"PV-PAR-312: Paridad Cambio de ONT FTTH Entel/Nokia — Komands ≡ BluePlanet.","0","test_par312_entel_nokia_ftth_cambio_ont_paridad_komands_blueplanet","tests.api","2026-07-20","skipped","2026-07-20","TestParidadENTELNokiaFTTH","test_par_provision","",""
"
        ESCENARIO: Cada VNO autorizado envía una modificación.

        Los 4 VNOs (DTV, CVTR, ENTEL, TCH) deben recibir 202.

        Resultado esperado: HTTP 202 para cada VNO.
        ","3","test_mod17_todos_los_vnos_pueden_modificar[DTV]","tests.api","2026-07-20","passed","2026-07-20","TestModificacionMultiVNO","test_modification","",""
"PASO 3 — Cambio Plan Comercial 100M/20M -> 200M/50M (service-modification).","3","test_e2e_03_modificacion[Huawei-Claro]","tests.e2e","2026-07-20","passed","2026-07-20","TestLifecycleFTTHAllVNOs","test_lifecycle_ftth_all_vnos","",""
"PV-BAJ: ONT no encontrado (KMD-2002) — combinaciones VNO × OLT faltantes.","4","test_baj_matriz_ont_not_found[PV-BAJ-198-CVTR-OLT-VAL-003-True]","tests.api","2026-07-20","passed","2026-07-20","","test_deactivation","",""
"PASO 6 — Consultar estado Cambio Dispositivo.","3","test_e2e_06_estado_cambio_dispositivo[Huawei-ENTEL]","tests.e2e","2026-07-20","passed","2026-07-20","TestLifecycleFTTHAllVNOs","test_lifecycle_ftth_all_vnos","",""
"PASO 7 — Baja de acceso con serial post-swap (unsubscription).","3","test_e2e_07_baja[Huawei-DTV]","tests.e2e","2026-07-20","passed","2026-07-20","TestLifecycleFTTHAllVNOs","test_lifecycle_ftth_all_vnos","",""
"
        ESCENARIO: Reset Nokia — verificar que NO es una baja.

        Reset reinicia el equipo pero NO lo elimina de la OLT.
        El comando 'no equipment ont interface' (baja) no debe aparecer.

        Resultado esperado: los comandos NO contienen 'no equipment'.
        ","0","test_nokia_reset_no_elimina_ont","tests.unit","2026-07-20","passed","2026-07-20","TestResetONT","test_command_builder","",""
"
        ESCENARIO: Rollback — volver de BluePlanet a Komands tras incidente.

        Precondición: feature_flag enabled=FALSE (BluePlanet activo).
        Acción: UPDATE feature_flag SET enabled=TRUE (reactivar Komands).
        Resultado esperado:
          - Siguiente request va a Komands.
          - audit_log registra 'ROLLBACK_TO_KOMANDS'.
          - Tiempo de reactivación < 300s (mismo SLA).
        ","0","test_flg03c_rollback_off_a_on_reestablece_komands","tests.feature_flags","2026-07-20","skipped","2026-07-20","TestConmutacion","test_feature_flags","",""
"
        ESCENARIO: Swap Nokia FTTH — VNO DTV.

        El swap reemplaza el serial del ONT físico sin interrumpir el servicio
        más de lo necesario. Es la operación más común cuando el ONT falla.

        Resultado esperado: HTTP 202.
        ","4","test_ont01_nokia_ftth_dtv_devuelve_202","tests.api","2026-07-20","passed","2026-07-20","TestSwapValido","test_device_modification","",""
"PASO 8 — Consultar estado Baja. Cierra el ciclo de vida del acceso.","3","test_e2e_08_estado_baja[Huawei-DTV]","tests.e2e","2026-07-20","passed","2026-07-20","TestLifecycleFTTHAllVNOs","test_lifecycle_ftth_all_vnos","",""
"
        ESCENARIO: Consulta de estado con token de API VNO (no token de portal).

        ServiceNow usa su token VNO para consultar el estado de una operación
        que encoló previamente. El endpoint debe aceptar tokens de API VNO
        con scope komands:query, no solo tokens de portal con transaction:read.

        Resultado esperado: HTTP 200.
        ","4","test_ops07_vno_api_token_puede_consultar_estado[CVTR[02]-unsubscription-unsubscription]","tests.api","2026-07-20","passed","2026-07-20","TestEstadoOperacionVNOToken","test_operation_status","",""
"PASO 7 — Baja de acceso con serial post-swap (unsubscription).","4","test_e2e_07_baja[Nokia-Entel]","tests.e2e","2026-07-20","passed","2026-07-20","TestLifecycleFTTHAllVNOs","test_lifecycle_ftth_all_vnos","",""
"PV-PAR-322: Paridad Baja SSAA Movistar/Nokia — Komands ≡ BluePlanet.","0","test_par322_tch_nokia_ssaa_baja_paridad_komands_blueplanet","tests.api","2026-07-20","skipped","2026-07-20","TestParidadTCHNokiaSSAA","test_par_provision","",""
